Amanita	SH320405.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	4.570868|-74.297333, 55.378051|-3.435973, 61.92411|25.748151, 58.595272|25.013607, 60.472024|8.468946, 56.26392|9.501785, 51.919438|19.145136, 51.165691|10.451526
Amanita	SH320513.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	41.87194|12.56738
Amanita	SH320403.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	41.87194|12.56738, -25.274398|133.775136, 61.52401|105.318756, 60.472024|8.468946, 58.595272|25.013607, 37.09024|-95.712891, 58.595272|25.013607, 49.817492|15.472962, 36.204824|138.252924, 55.378051|-3.435973, 60.128161|18.643501
Amanita	SH320524.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	42.708678|19.37439
Amanita	SH320506.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	51.165691|10.451526
Amanita	SH320579.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	51.165691|10.451526
Amanita	SH320591.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	51.919438|19.145136
Amanita	SH320563.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	55.378051|-3.435973
Amanita	SH320580.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	55.378051|-3.435973
Amanita	SH320406.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	56.130366|-106.346771, 37.09024|-95.712891
Amanita	SH320418.07FU	SH082298.07FU	SH038014.07FU	SH003263.07FU	56.130366|-106.346771, 37.09024|-95.712891, 37.09024|-95.712891
Amanita	SH320474.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	58.595272|25.013607
Amanita	SH320479.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	58.595272|25.013607
Amanita	SH320480.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	58.595272|25.013607
Amanita	SH320495.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	60.128161|18.643501
Amanita	SH320585.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	60.128161|18.643501
Amanita	SH320404.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	60.128161|18.643501, 37.09024|-95.712891, 36.204824|138.252924
Amanita	SH320438.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	60.472024|8.468946
Amanita	SH320520.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	60.472024|8.468946
Amanita	SH320431.07FU	SH082300.07FU	SH038014.07FU	SH003263.07FU	60.472024|8.468946, 58.595272|25.013607, 58.595272|25.013607
Amanita	SH320565.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	61.52401|105.318756
Amanita	SH320578.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	61.52401|105.318756
Amanita	SH320582.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	61.52401|105.318756
Amanita	SH320583.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	61.52401|105.318756
Amanita	SH320560.07FU	SH082297.07FU	SH038014.07FU	SH003263.07FU	61.92411|25.748151
Amanita	SH371393.07FU	SH101629.07FU	SH051102.07FU	SH013405.07FU	46.227638|2.213749, 58.595272|25.013607
Amanita	SH371398.07FU	SH101629.07FU	SH051102.07FU	SH013405.07FU	58.595272|25.013607
Amanita	SH371382.07FU	SH101629.07FU	SH051102.07FU	SH013405.07FU	71.706936|-42.604303
Amanita	SH320516.07FU	SH082320.07FU	SH038029.07FU	SH003275.07FU	35.907757|127.766922
Amanita	SH320514.07FU	SH082320.07FU	SH038029.07FU	SH003275.07FU	36.204824|138.252924, 35.907757|127.766922
Amanita	SH399507.07FU	SH113552.07FU	SH059764.07FU	SH020305.07FU	15.870032|100.992541
Amanita	SH399503.07FU	SH113552.07FU	SH059764.07FU	SH020305.07FU	15.870032|100.992541
Amanita	SH399506.07FU	SH113554.07FU	SH059766.07FU	SH020305.07FU	36.204824|138.252924
Amanita	SH320464.07FU	SH082305.07FU	SH038019.07FU	SH003268.07FU	28.394857|84.124008
Amanita	SH320419.07FU	SH082305.07FU	SH038019.07FU	SH003268.07FU	35.86166|104.195397, 28.394857|84.124008
Amanita	SH320466.07FU	SH082305.07FU	SH038019.07FU	SH003268.07FU	36.204824|138.252924
